build_id,pipeline_name,triggered_by,start_time,end_time,status,duration_minutes,commit_sha,branch,tests_run,tests_passed,code_coverage_percent,sprint_number
63,phoenix-billing-service-ci,tom.garcia,2024-01-09 09:57:00,2024-01-09 10:07:00,SUCCESS,10,abc000057,main,139,146,78.79469606613267,1
64,phoenix-auth-service-ci,david.kumar,2024-01-09 16:42:00,2024-01-09 16:48:00,SUCCESS,6,abc000760,feature/auth,98,68,68.52839958941611,1
65,phoenix-web-frontend-ci,tom.garcia,2024-01-09 19:28:00,2024-01-09 19:36:00,SUCCESS,8,abc000604,main,120,146,64.27241423762173,1
66,phoenix-customer-platform-ci,james.taylor,2024-01-09 16:24:00,2024-01-09 16:34:00,SUCCESS,10,abc001435,develop,142,99,81.61423726977225,1
67,phoenix-auth-service-ci,david.kumar,2024-01-09 10:06:00,2024-01-09 10:11:00,SUCCESS,5,abc000746,feature/billing,136,80,75.32314073385075,1
68,phoenix-customer-platform-ci,david.kumar,2024-01-09 11:58:00,2024-01-09 12:05:00,SUCCESS,7,abc000418,feature/auth,75,137,84.18044448037129,1
69,phoenix-web-frontend-ci,david.kumar,2024-01-09 18:37:00,2024-01-09 18:45:00,SUCCESS,8,abc001720,feature/auth,65,49,82.46276424295417,1
70,phoenix-mobile-api-ci,tom.garcia,2024-01-10 19:39:00,2024-01-10 19:49:00,SUCCESS,10,abc000876,feature/auth,100,58,69.77602410148477,1
71,phoenix-customer-platform-ci,james.taylor,2024-01-10 11:11:00,2024-01-10 11:21:00,SUCCESS,10,abc000198,main,136,57,63.16733863602786,1
72,phoenix-mobile-api-ci,tom.garcia,2024-01-10 15:42:00,2024-01-10 15:47:00,SUCCESS,5,abc000134,main,84,57,72.75427747500153,1
73,phoenix-auth-service-ci,ana.lopez,2024-01-10 13:53:00,2024-01-10 14:03:00,SUCCESS,10,abc001312,feature/auth,118,46,76.69117997536559,1
74,phoenix-web-frontend-ci,david.kumar,2024-01-10 15:41:00,2024-01-10 15:48:00,SUCCESS,7,abc000094,feature/auth,129,146,76.86678877163001,1
75,phoenix-billing-service-ci,ana.lopez,2024-01-10 10:00:00,2024-01-10 10:07:00,SUCCESS,7,abc001405,feature/auth,126,53,75.35146357011453,1
76,phoenix-auth-service-ci,ana.lopez,2024-01-10 09:16:00,2024-01-10 09:37:00,TIMEOUT,21,abc000345,main,93,86,56.26855512718052,1
77,phoenix-billing-service-ci,james.taylor,2024-01-10 17:31:00,2024-01-10 17:45:00,TIMEOUT,14,abc001104,feature/auth,50,40,47.80243476981068,1
78,phoenix-web-frontend-ci,david.kumar,2024-01-10 17:42:00,2024-01-10 17:52:00,SUCCESS,10,abc000537,feature/auth,41,140,84.76518883433282,1
79,phoenix-billing-service-ci,ana.lopez,2024-01-11 09:19:00,2024-01-11 09:24:00,SUCCESS,5,abc001741,feature/billing,80,119,67.0626738834232,1
80,phoenix-web-frontend-ci,tom.garcia,2024-01-11 10:11:00,2024-01-11 10:17:00,SUCCESS,6,abc000126,feature/auth,92,129,70.94280400271981,1
81,phoenix-auth-service-ci,david.kumar,2024-01-11 15:48:00,2024-01-11 15:56:00,SUCCESS,8,abc001521,feature/auth,148,116,70.73933895883332,1
82,phoenix-customer-platform-ci,james.taylor,2024-01-11 11:06:00,2024-01-11 11:15:00,SUCCESS,9,abc000526,feature/auth,134,50,62.56668121939709,1
83,phoenix-web-frontend-ci,ana.lopez,2024-01-11 18:46:00,2024-01-11 18:54:00,SUCCESS,8,abc000247,main,114,82,74.40619729073372,1
84,phoenix-web-frontend-ci,david.kumar,2024-01-11 09:46:00,2024-01-11 09:56:00,SUCCESS,10,abc001364,main,119,120,74.98678774853272,1
85,phoenix-billing-service-ci,tom.garcia,2024-01-11 12:46:00,2024-01-11 12:53:00,SUCCESS,7,abc000199,develop,73,56,75.61815524054668,1
86,phoenix-customer-platform-ci,david.kumar,2024-01-11 12:01:00,2024-01-11 12:09:00,SUCCESS,8,abc001898,feature/billing,89,84,77.11747650495917,1
87,phoenix-web-frontend-ci,david.kumar,2024-01-11 11:16:00,2024-01-11 11:25:00,SUCCESS,9,abc001696,feature/auth,123,77,74.07326111936126,1
88,phoenix-web-frontend-ci,james.taylor,2024-01-12 09:27:00,2024-01-12 09:33:00,SUCCESS,6,abc000536,main,100,88,63.332028272874794,1
89,phoenix-auth-service-ci,james.taylor,2024-01-12 18:16:00,2024-01-12 18:25:00,SUCCESS,9,abc000334,develop,67,107,75.18509835541087,1
90,phoenix-auth-service-ci,tom.garcia,2024-01-12 09:20:00,2024-01-12 09:27:00,SUCCESS,7,abc001663,main,84,94,72.1100412180317,1
91,phoenix-web-frontend-ci,ana.lopez,2024-01-12 11:41:00,2024-01-12 11:51:00,SUCCESS,10,abc000054,main,63,118,84.10581662112517,1
92,phoenix-auth-service-ci,james.taylor,2024-01-12 19:50:00,2024-01-12 19:56:00,SUCCESS,6,abc000442,main,90,94,63.72847125550921,1
93,phoenix-mobile-api-ci,tom.garcia,2024-01-12 17:15:00,2024-01-12 17:23:00,SUCCESS,8,abc001339,main,114,143,65.72355133509335,1
94,phoenix-billing-service-ci,david.kumar,2024-01-12 19:25:00,2024-01-12 19:32:00,SUCCESS,7,abc001434,feature/billing,102,127,81.3100174832918,1
95,phoenix-auth-service-ci,ana.lopez,2024-01-12 20:49:00,2024-01-12 20:58:00,SUCCESS,9,abc001627,feature/auth,132,115,66.1506132654753,1
96,phoenix-billing-service-ci,james.taylor,2024-01-12 16:24:00,2024-01-12 16:31:00,SUCCESS,7,abc000678,feature/auth,111,39,83.15979892687072,1
97,phoenix-billing-service-ci,ana.lopez,2024-01-13 19:36:00,2024-01-13 19:42:00,SUCCESS,6,abc001968,feature/auth,114,48,69.14806140540396,1
98,phoenix-mobile-api-ci,david.kumar,2024-01-13 16:40:00,2024-01-13 16:45:00,FAILURE,5,abc000689,feature/billing,123,103,61.72337648813897,1
99,phoenix-mobile-api-ci,ana.lopez,2024-01-13 17:40:00,2024-01-13 17:45:00,SUCCESS,5,abc001484,main,140,126,61.62878660259084,1
100,phoenix-auth-service-ci,ana.lopez,2024-01-13 20:34:00,2024-01-13 20:39:00,SUCCESS,5,abc001611,feature/billing,130,36,73.61650098181403,1
101,phoenix-customer-platform-ci,james.taylor,2024-01-14 13:29:00,2024-01-14 13:34:00,SUCCESS,5,abc001960,main,104,135,68.7429171802186,1
102,phoenix-web-frontend-ci,ana.lopez,2024-01-14 08:27:00,2024-01-14 08:34:00,SUCCESS,7,abc001917,feature/billing,80,131,83.09133129141318,1
103,phoenix-customer-platform-ci,david.kumar,2024-01-14 10:26:00,2024-01-14 10:35:00,SUCCESS,9,abc000939,feature/auth,81,46,69.61059153941142,1
104,phoenix-customer-platform-ci,james.taylor,2024-01-15 08:08:00,2024-01-15 08:18:00,SUCCESS,10,abc000945,develop,42,75,66.50467885420777,1
105,phoenix-billing-service-ci,james.taylor,2024-01-15 13:07:00,2024-01-15 13:15:00,SUCCESS,8,abc000194,feature/auth,55,35,82.92753637239501,1
106,phoenix-customer-platform-ci,tom.garcia,2024-01-15 14:32:00,2024-01-15 14:42:00,SUCCESS,10,abc000819,feature/billing,113,63,77.17824811698925,1
107,phoenix-web-frontend-ci,ana.lopez,2024-01-15 19:34:00,2024-01-15 19:43:00,SUCCESS,9,abc000454,feature/billing,75,65,64.04505051925705,1
108,phoenix-mobile-api-ci,james.taylor,2024-01-15 14:16:00,2024-01-15 14:23:00,SUCCESS,7,abc001104,feature/auth,142,127,84.41630078968817,1
109,phoenix-customer-platform-ci,james.taylor,2024-01-15 16:54:00,2024-01-15 17:03:00,SUCCESS,9,abc001127,feature/auth,59,104,61.22434934352349,1
110,phoenix-billing-service-ci,ana.lopez,2024-01-15 13:48:00,2024-01-15 13:56:00,SUCCESS,8,abc001060,develop,99,148,84.49355616292439,1
111,phoenix-mobile-api-ci,james.taylor,2024-01-15 11:31:00,2024-01-15 11:38:00,SUCCESS,7,abc000234,feature/auth,120,121,62.57739813456797,1
112,phoenix-web-frontend-ci,ana.lopez,2024-01-15 14:55:00,2024-01-15 15:02:00,SUCCESS,7,abc000645,main,119,114,73.19649297507489,1
113,phoenix-customer-platform-ci,david.kumar,2024-01-15 15:34:00,2024-01-15 15:41:00,SUCCESS,7,abc001108,main,146,145,69.81792711857427,2
114,phoenix-web-frontend-ci,david.kumar,2024-01-15 14:34:00,2024-01-15 14:57:00,TIMEOUT,23,abc001717,feature/billing,125,77,57.57550638053281,2
115,phoenix-customer-platform-ci,ana.lopez,2024-01-15 17:44:00,2024-01-15 17:50:00,SUCCESS,6,abc000586,feature/auth,111,117,66.95176832954205,2
116,phoenix-customer-platform-ci,ana.lopez,2024-01-15 14:56:00,2024-01-15 15:04:00,SUCCESS,8,abc000698,develop,40,96,60.217732494173944,2
117,phoenix-customer-platform-ci,david.kumar,2024-01-15 10:15:00,2024-01-15 10:20:00,SUCCESS,5,abc001552,main,144,71,62.52542129633627,2
118,phoenix-mobile-api-ci,ana.lopez,2024-01-15 15:19:00,2024-01-15 15:25:00,SUCCESS,6,abc000426,develop,127,109,67.92771383044794,2
119,phoenix-billing-service-ci,tom.garcia,2024-01-15 09:33:00,2024-01-15 09:42:00,SUCCESS,9,abc000055,feature/billing,103,70,74.73250251180934,2
120,phoenix-billing-service-ci,david.kumar,2024-01-15 20:02:00,2024-01-15 20:08:00,SUCCESS,6,abc000767,feature/auth,59,112,60.7744758515534,2
121,phoenix-customer-platform-ci,james.taylor,2024-01-15 13:13:00,2024-01-15 13:19:00,SUCCESS,6,abc001856,develop,137,89,66.43925893243322,2
122,phoenix-customer-platform-ci,tom.garcia,2024-01-15 10:27:00,2024-01-15 10:35:00,SUCCESS,8,abc000684,main,76,56,65.51001540987437,2
123,phoenix-web-frontend-ci,tom.garcia,2024-01-16 17:47:00,2024-01-16 17:52:00,SUCCESS,5,abc000682,develop,53,65,73.05052502114467,2
124,phoenix-customer-platform-ci,david.kumar,2024-01-16 18:01:00,2024-01-16 18:11:00,SUCCESS,10,abc001820,feature/billing,105,111,80.23685821477447,2
125,phoenix-billing-service-ci,james.taylor,2024-01-16 12:42:00,2024-01-16 12:50:00,SUCCESS,8,abc001112,feature/billing,106,78,81.99701613257054,2
126,phoenix-billing-service-ci,tom.garcia,2024-01-16 12:51:00,2024-01-16 12:56:00,SUCCESS,5,abc000285,feature/billing,113,77,80.05216320848179,2
127,phoenix-billing-service-ci,james.taylor,2024-01-16 11:27:00,2024-01-16 11:33:00,SUCCESS,6,abc001213,main,127,38,76.83764774726879,2
128,phoenix-billing-service-ci,david.kumar,2024-01-16 16:44:00,2024-01-16 16:50:00,SUCCESS,6,abc000376,feature/billing,66,128,70.06785510630317,2
129,phoenix-auth-service-ci,tom.garcia,2024-01-16 15:00:00,2024-01-16 15:06:00,SUCCESS,6,abc000276,feature/billing,104,60,69.91004781143545,2
130,phoenix-mobile-api-ci,david.kumar,2024-01-16 18:56:00,2024-01-16 19:02:00,SUCCESS,6,abc000782,develop,64,133,81.1352701410826,2
131,phoenix-auth-service-ci,tom.garcia,2024-01-16 11:24:00,2024-01-16 11:34:00,SUCCESS,10,abc001762,develop,109,124,81.0213730597618,2
132,phoenix-mobile-api-ci,tom.garcia,2024-01-16 14:01:00,2024-01-16 14:09:00,SUCCESS,8,abc001363,main,75,64,84.76793153087246,2
133,phoenix-mobile-api-ci,tom.garcia,2024-01-17 16:25:00,2024-01-17 16:32:00,SUCCESS,7,abc000246,feature/auth,147,97,80.72262845101692,2
134,phoenix-auth-service-ci,james.taylor,2024-01-17 13:39:00,2024-01-17 13:45:00,SUCCESS,6,abc001482,feature/auth,125,84,62.90028661200736,2
135,phoenix-mobile-api-ci,ana.lopez,2024-01-17 16:28:00,2024-01-17 16:35:00,SUCCESS,7,abc001706,feature/billing,99,100,62.54031208985561,2
136,phoenix-billing-service-ci,james.taylor,2024-01-17 08:57:00,2024-01-17 09:05:00,SUCCESS,8,abc001965,feature/billing,49,77,68.84771934149471,2
137,phoenix-mobile-api-ci,tom.garcia,2024-01-17 12:29:00,2024-01-17 12:39:00,SUCCESS,10,abc000365,develop,41,140,72.8872637055114,2
138,phoenix-billing-service-ci,david.kumar,2024-01-17 13:36:00,2024-01-17 13:44:00,SUCCESS,8,abc001006,develop,99,47,81.7669230989865,2
139,phoenix-billing-service-ci,james.taylor,2024-01-17 15:06:00,2024-01-17 15:16:00,SUCCESS,10,abc000328,main,52,67,69.5256911064427,2
140,phoenix-customer-platform-ci,tom.garcia,2024-01-17 16:18:00,2024-01-17 16:27:00,SUCCESS,9,abc001524,feature/billing,150,47,70.63707855850456,2
141,phoenix-billing-service-ci,ana.lopez,2024-01-17 12:25:00,2024-01-17 12:31:00,SUCCESS,6,abc000428,main,147,123,76.12185271391854,2
142,phoenix-auth-service-ci,ana.lopez,2024-01-17 09:12:00,2024-01-17 09:18:00,SUCCESS,6,abc000816,feature/auth,133,132,75.76076366537872,2
143,phoenix-customer-platform-ci,james.taylor,2024-01-18 09:22:00,2024-01-18 09:30:00,SUCCESS,8,abc000702,feature/billing,53,41,84.55471697929488,2
144,phoenix-customer-platform-ci,david.kumar,2024-01-18 17:52:00,2024-01-18 17:57:00,SUCCESS,5,abc001827,develop,50,97,83.93576031930374,2
145,phoenix-mobile-api-ci,tom.garcia,2024-01-18 16:18:00,2024-01-18 16:24:00,SUCCESS,6,abc000544,feature/billing,118,146,66.73937807520251,2
146,phoenix-mobile-api-ci,david.kumar,2024-01-18 15:36:00,2024-01-18 15:42:00,SUCCESS,6,abc000306,develop,83,58,84.93291910267703,2
147,phoenix-customer-platform-ci,david.kumar,2024-01-18 16:42:00,2024-01-18 16:52:00,SUCCESS,10,abc000919,feature/billing,101,37,64.49111100056983,2
148,phoenix-billing-service-ci,tom.garcia,2024-01-18 10:50:00,2024-01-18 10:56:00,SUCCESS,6,abc001122,feature/billing,67,121,63.03448592900687,2
149,phoenix-mobile-api-ci,tom.garcia,2024-01-18 20:57:00,2024-01-18 21:06:00,SUCCESS,9,abc000488,feature/auth,46,63,69.0297055707878,2
150,phoenix-billing-service-ci,james.taylor,2024-01-18 10:12:00,2024-01-18 10:21:00,SUCCESS,9,abc000371,develop,52,148,68.5618285742836,2
151,phoenix-web-frontend-ci,ana.lopez,2024-01-18 17:49:00,2024-01-18 17:59:00,SUCCESS,10,abc000087,feature/auth,115,94,68.12295409755843,2
152,phoenix-web-frontend-ci,tom.garcia,2024-01-18 17:11:00,2024-01-18 17:17:00,SUCCESS,6,abc001296,main,88,106,67.26800406673465,2
153,phoenix-mobile-api-ci,ana.lopez,2024-01-19 15:51:00,2024-01-19 15:56:00,SUCCESS,5,abc000973,develop,147,79,77.64328089163223,2
154,phoenix-mobile-api-ci,ana.lopez,2024-01-19 12:26:00,2024-01-19 12:31:00,SUCCESS,5,abc000243,feature/billing,70,74,64.53467588415667,2
155,phoenix-billing-service-ci,tom.garcia,2024-01-19 09:50:00,2024-01-19 09:59:00,SUCCESS,9,abc001755,feature/billing,134,126,64.26218019450006,2
156,phoenix-auth-service-ci,david.kumar,2024-01-19 14:49:00,2024-01-19 14:58:00,SUCCESS,9,abc000237,main,69,102,71.4142659102184,2
157,phoenix-billing-service-ci,tom.garcia,2024-01-19 10:59:00,2024-01-19 11:09:00,SUCCESS,10,abc000302,feature/billing,115,85,80.94564657283621,2
158,phoenix-mobile-api-ci,james.taylor,2024-01-19 11:15:00,2024-01-19 11:21:00,FAILURE,6,abc000785,develop,75,29,51.485770540212826,2
159,phoenix-mobile-api-ci,ana.lopez,2024-01-19 08:31:00,2024-01-19 08:40:00,SUCCESS,9,abc000346,develop,83,74,82.18949029785446,2
160,phoenix-mobile-api-ci,david.kumar,2024-01-19 13:05:00,2024-01-19 13:11:00,SUCCESS,6,abc000713,develop,116,58,69.62313956426802,2
161,phoenix-customer-platform-ci,james.taylor,2024-01-19 14:13:00,2024-01-19 14:18:00,SUCCESS,5,abc000712,feature/billing,135,135,77.73853839651332,2
162,phoenix-web-frontend-ci,tom.garcia,2024-01-19 11:59:00,2024-01-19 12:08:00,SUCCESS,9,abc000474,develop,89,72,80.41389647910519,2
163,phoenix-billing-service-ci,james.taylor,2024-01-20 18:07:00,2024-01-20 18:29:00,TIMEOUT,22,abc000059,develop,80,129,54.1699712992689,2
164,phoenix-web-frontend-ci,tom.garcia,2024-01-20 17:21:00,2024-01-20 17:27:00,SUCCESS,6,abc001198,main,105,37,74.5978070942988,2
165,phoenix-auth-service-ci,james.taylor,2024-01-20 20:25:00,2024-01-20 20:33:00,SUCCESS,8,abc001037,main,49,89,84.06963015519014,2
166,phoenix-mobile-api-ci,james.taylor,2024-01-21 08:25:00,2024-01-21 08:30:00,SUCCESS,5,abc001882,develop,45,56,75.24667482626172,2
167,phoenix-customer-platform-ci,tom.garcia,2024-01-21 14:27:00,2024-01-21 14:35:00,SUCCESS,8,abc001898,feature/billing,107,65,65.28345283789616,2
168,phoenix-mobile-api-ci,david.kumar,2024-01-22 16:39:00,2024-01-22 16:49:00,SUCCESS,10,abc001663,develop,40,58,83.11476418034904,2
169,phoenix-web-frontend-ci,tom.garcia,2024-01-22 12:32:00,2024-01-22 12:38:00,FAILURE,6,abc000443,main,91,29,66.01218580662348,2
170,phoenix-customer-platform-ci,tom.garcia,2024-01-22 17:53:00,2024-01-22 18:02:00,SUCCESS,9,abc000256,feature/billing,54,109,83.40632033243321,2
171,phoenix-web-frontend-ci,ana.lopez,2024-01-22 11:32:00,2024-01-22 11:38:00,SUCCESS,6,abc001413,feature/billing,103,46,69.06225658565207,2
172,phoenix-mobile-api-ci,james.taylor,2024-01-22 20:22:00,2024-01-22 20:32:00,SUCCESS,10,abc000112,main,61,104,67.62548353350392,2
