message_id,channel,channel_type,author,timestamp,message_type,content_length,mentions_count,responses_count,reactions_count,is_after_hours,is_weekend,sprint_number,contains_blocked_keyword,contains_urgent_keyword
20,architecture-discussion,technical,sarah.johnson,2024-01-01 10:10:00,general,28,1,1,1,False,False,1,False,False
21,modernization-effort,project,lisa.chen,2024-01-01 18:41:00,general,21,1,2,0,False,False,1,False,False
22,phoenix-daily,standup,sarah.johnson,2024-01-01 08:20:00,general,17,0,0,0,False,False,1,False,False
23,phoenix-daily,standup,emma.jones,2024-01-01 16:40:00,general,28,1,0,4,False,False,1,False,False
24,phoenix-team,team,mark.smith,2024-01-01 16:42:00,general,21,1,2,1,False,False,1,False,False
25,modernization-effort,project,ana.lopez,2024-01-01 18:50:00,general,28,0,0,0,False,False,1,False,False
26,phoenix-daily,standup,tom.garcia,2024-01-01 18:17:00,blocked,22,3,0,0,False,False,1,True,False
27,production-alerts,alerts,emma.jones,2024-01-01 17:05:00,general,33,0,2,2,False,False,1,False,False
28,modernization-effort,project,emma.jones,2024-01-01 09:44:00,urgent,34,2,1,1,False,False,1,False,True
29,phoenix-team,team,emma.jones,2024-01-01 13:03:00,general,17,1,0,4,False,False,1,False,False
30,phoenix-daily,standup,mark.smith,2024-01-01 15:51:00,general,21,0,1,4,False,False,1,False,False
31,architecture-discussion,technical,david.kumar,2024-01-01 12:38:00,general,28,0,1,2,False,False,1,False,False
32,general-dev,general,ana.lopez,2024-01-01 09:16:00,general,28,1,1,3,False,False,1,False,False
33,phoenix-daily,standup,alex.brown,2024-01-01 04:22:00,general,21,1,2,0,True,False,1,False,False
34,architecture-discussion,technical,david.kumar,2024-01-01 15:21:00,general,17,0,1,1,False,False,1,False,False
35,general-dev,general,sarah.johnson,2024-01-01 18:12:00,general,28,0,1,4,False,False,1,False,False
36,architecture-discussion,technical,sam.miller,2024-01-01 14:12:00,general,28,1,2,2,False,False,1,False,False
37,modernization-effort,project,alex.brown,2024-01-01 09:06:00,general,17,0,1,3,False,False,1,False,False
38,phoenix-daily,standup,ana.lopez,2024-01-01 14:57:00,general,28,1,0,0,False,False,1,False,False
39,architecture-discussion,technical,mark.smith,2024-01-01 08:15:00,general,33,0,2,3,False,False,1,False,False
40,production-alerts,alerts,tom.garcia,2024-01-01 16:04:00,general,28,0,2,3,False,False,1,False,False
41,architecture-discussion,technical,alex.brown,2024-01-02 18:54:00,general,17,0,0,4,False,False,1,False,False
42,modernization-effort,project,james.taylor,2024-01-02 12:45:00,general,33,0,1,2,False,False,1,False,False
43,modernization-effort,project,jordan.davis,2024-01-02 11:48:00,general,21,1,1,1,False,False,1,False,False
44,phoenix-team,team,tom.garcia,2024-01-02 11:38:00,general,28,0,2,1,False,False,1,False,False
45,phoenix-team,team,rachel.wilson,2024-01-02 17:41:00,general,21,0,1,3,False,False,1,False,False
46,phoenix-daily,standup,emma.jones,2024-01-02 18:29:00,general,17,0,1,0,False,False,1,False,False
47,phoenix-daily,standup,emma.jones,2024-01-02 22:06:00,general,17,1,0,4,True,False,1,False,False
48,general-dev,general,james.taylor,2024-01-02 17:50:00,general,21,0,0,4,False,False,1,False,False
49,phoenix-daily,standup,james.taylor,2024-01-02 07:28:00,general,28,0,2,0,True,False,1,False,False
50,phoenix-team,team,tom.garcia,2024-01-02 10:40:00,general,17,1,2,3,False,False,1,False,False
51,production-alerts,alerts,alex.brown,2024-01-02 19:26:00,urgent,38,4,5,2,True,False,1,False,True
52,architecture-discussion,technical,jordan.davis,2024-01-02 16:33:00,general,33,0,1,0,False,False,1,False,False
53,phoenix-daily,standup,mark.smith,2024-01-02 09:37:00,general,17,0,1,3,False,False,1,False,False
54,general-dev,general,jordan.davis,2024-01-02 11:31:00,general,28,1,0,1,False,False,1,False,False
55,phoenix-daily,standup,jordan.davis,2024-01-02 09:43:00,general,17,1,1,0,False,False,1,False,False
56,phoenix-team,team,tom.garcia,2024-01-02 13:47:00,blocked,27,3,2,2,False,False,1,True,False
57,architecture-discussion,technical,tom.garcia,2024-01-02 09:54:00,general,17,0,1,0,False,False,1,False,False
58,phoenix-daily,standup,alex.brown,2024-01-02 23:35:00,general,21,0,0,1,True,False,1,False,False
59,modernization-effort,project,emma.jones,2024-01-02 06:50:00,general,21,0,1,3,True,False,1,False,False
60,architecture-discussion,technical,sarah.johnson,2024-01-02 17:23:00,general,17,1,0,2,False,False,1,False,False
61,architecture-discussion,technical,jordan.davis,2024-01-02 19:27:00,general,17,1,2,1,True,False,1,False,False
62,general-dev,general,emma.jones,2024-01-02 18:13:00,blocked,26,1,6,3,False,False,1,True,False
63,architecture-discussion,technical,tom.garcia,2024-01-02 09:14:00,general,21,1,1,0,False,False,1,False,False
64,production-alerts,alerts,alex.brown,2024-01-02 14:23:00,general,21,1,1,0,False,False,1,False,False
65,phoenix-team,team,james.taylor,2024-01-02 18:44:00,general,28,1,1,4,False,False,1,False,False
66,general-dev,general,emma.jones,2024-01-02 11:39:00,general,17,1,0,4,False,False,1,False,False
67,modernization-effort,project,sam.miller,2024-01-02 12:59:00,general,21,1,2,2,False,False,1,False,False
68,architecture-discussion,technical,alex.brown,2024-01-02 09:03:00,general,17,1,2,1,False,False,1,False,False
69,general-dev,general,david.kumar,2024-01-02 17:00:00,general,21,0,0,0,False,False,1,False,False
70,general-dev,general,sarah.johnson,2024-01-02 11:35:00,general,21,1,0,0,False,False,1,False,False
71,production-alerts,alerts,jordan.davis,2024-01-02 14:51:00,general,21,0,1,4,False,False,1,False,False
72,general-dev,general,jordan.davis,2024-01-02 14:05:00,general,17,1,2,3,False,False,1,False,False
73,general-dev,general,mark.smith,2024-01-02 22:06:00,general,21,1,1,1,True,False,1,False,False
74,architecture-discussion,technical,tom.garcia,2024-01-02 20:58:00,general,17,1,0,1,True,False,1,False,False
75,architecture-discussion,technical,mark.smith,2024-01-02 09:44:00,general,17,1,1,2,False,False,1,False,False
76,general-dev,general,lisa.chen,2024-01-02 08:18:00,general,28,0,0,3,False,False,1,False,False
77,modernization-effort,project,ana.lopez,2024-01-02 15:12:00,general,28,0,0,1,False,False,1,False,False
78,architecture-discussion,technical,james.taylor,2024-01-02 16:46:00,general,33,1,1,1,False,False,1,False,False
79,general-dev,general,emma.jones,2024-01-02 11:59:00,blocked,26,2,4,1,False,False,1,True,False
80,phoenix-daily,standup,alex.brown,2024-01-02 08:10:00,general,21,0,0,3,False,False,1,False,False
81,phoenix-team,team,sam.miller,2024-01-03 09:49:00,general,21,0,1,3,False,False,1,False,False
82,modernization-effort,project,jordan.davis,2024-01-03 17:18:00,general,21,1,1,3,False,False,1,False,False
83,modernization-effort,project,lisa.chen,2024-01-03 15:12:00,blocked,26,2,6,2,False,False,1,True,False
84,architecture-discussion,technical,rachel.wilson,2024-01-03 14:34:00,general,17,0,1,0,False,False,1,False,False
85,phoenix-team,team,alex.brown,2024-01-03 10:57:00,blocked,24,2,4,4,False,False,1,True,False
86,phoenix-daily,standup,rachel.wilson,2024-01-03 12:17:00,general,17,0,0,2,False,False,1,False,False
87,production-alerts,alerts,lisa.chen,2024-01-03 08:19:00,general,33,1,1,0,False,False,1,False,False
88,phoenix-team,team,david.kumar,2024-01-03 08:28:00,blocked,24,2,6,4,False,False,1,True,False
89,general-dev,general,jordan.davis,2024-01-03 10:15:00,general,17,1,1,1,False,False,1,False,False
90,production-alerts,alerts,jordan.davis,2024-01-03 17:36:00,blocked,27,3,2,4,False,False,1,True,False
91,modernization-effort,project,alex.brown,2024-01-03 13:32:00,general,33,0,1,3,False,False,1,False,False
92,phoenix-team,team,emma.jones,2024-01-03 18:58:00,general,21,1,1,3,False,False,1,False,False
93,architecture-discussion,technical,emma.jones,2024-01-03 19:27:00,general,33,1,0,4,True,False,1,False,False
94,phoenix-daily,standup,ana.lopez,2024-01-03 07:44:00,blocked,27,1,0,4,True,False,1,True,False
95,architecture-discussion,technical,lisa.chen,2024-01-03 16:08:00,general,28,1,1,3,False,False,1,False,False
96,phoenix-team,team,jordan.davis,2024-01-03 16:20:00,general,21,1,0,0,False,False,1,False,False
97,modernization-effort,project,mark.smith,2024-01-03 00:23:00,general,17,0,1,0,True,False,1,False,False
98,phoenix-team,team,mark.smith,2024-01-03 15:31:00,general,21,0,2,3,False,False,1,False,False
99,phoenix-daily,standup,alex.brown,2024-01-03 10:42:00,general,28,0,0,4,False,False,1,False,False
100,architecture-discussion,technical,alex.brown,2024-01-03 09:41:00,general,28,0,1,2,False,False,1,False,False
101,production-alerts,alerts,lisa.chen,2024-01-03 10:24:00,general,21,0,0,3,False,False,1,False,False
102,modernization-effort,project,david.kumar,2024-01-03 18:54:00,general,33,1,0,2,False,False,1,False,False
103,phoenix-daily,standup,lisa.chen,2024-01-03 10:54:00,general,17,0,2,1,False,False,1,False,False
104,phoenix-daily,standup,sarah.johnson,2024-01-03 11:19:00,general,21,0,0,1,False,False,1,False,False
105,architecture-discussion,technical,emma.jones,2024-01-03 13:24:00,general,33,0,1,2,False,False,1,False,False
106,phoenix-daily,standup,james.taylor,2024-01-03 09:52:00,urgent,45,2,5,4,False,False,1,False,True
107,modernization-effort,project,lisa.chen,2024-01-03 17:45:00,general,21,1,0,1,False,False,1,False,False
108,architecture-discussion,technical,jordan.davis,2024-01-03 11:22:00,general,21,0,0,4,False,False,1,False,False
109,production-alerts,alerts,rachel.wilson,2024-01-03 15:49:00,general,21,0,1,3,False,False,1,False,False
110,modernization-effort,project,emma.jones,2024-01-03 13:53:00,general,33,1,1,2,False,False,1,False,False
111,architecture-discussion,technical,sam.miller,2024-01-03 17:57:00,general,17,0,0,1,False,False,1,False,False
112,phoenix-daily,standup,david.kumar,2024-01-03 12:34:00,general,17,0,1,4,False,False,1,False,False
113,phoenix-team,team,david.kumar,2024-01-03 11:38:00,general,17,1,0,0,False,False,1,False,False
114,architecture-discussion,technical,tom.garcia,2024-01-03 14:16:00,general,17,1,1,0,False,False,1,False,False
115,phoenix-team,team,james.taylor,2024-01-03 09:52:00,general,21,0,0,1,False,False,1,False,False
116,general-dev,general,sam.miller,2024-01-03 10:49:00,general,28,0,1,4,False,False,1,False,False
117,phoenix-daily,standup,sarah.johnson,2024-01-03 08:45:00,blocked,24,2,1,1,False,False,1,True,False
118,phoenix-daily,standup,sam.miller,2024-01-03 05:40:00,blocked,27,1,6,4,True,False,1,True,False
119,phoenix-team,team,ana.lopez,2024-01-03 10:40:00,general,17,1,1,1,False,False,1,False,False
120,production-alerts,alerts,jordan.davis,2024-01-03 02:01:00,general,17,0,2,4,True,False,1,False,False
121,production-alerts,alerts,ana.lopez,2024-01-04 15:20:00,general,33,0,0,0,False,False,1,False,False
122,general-dev,general,jordan.davis,2024-01-04 16:19:00,general,33,0,2,1,False,False,1,False,False
123,phoenix-daily,standup,david.kumar,2024-01-04 15:23:00,general,33,1,0,1,False,False,1,False,False
124,general-dev,general,david.kumar,2024-01-04 20:54:00,blocked,27,2,6,1,True,False,1,True,False
125,architecture-discussion,technical,sarah.johnson,2024-01-04 11:38:00,general,28,0,2,4,False,False,1,False,False
126,phoenix-team,team,sam.miller,2024-01-04 12:56:00,general,17,1,2,2,False,False,1,False,False
127,phoenix-daily,standup,lisa.chen,2024-01-04 13:38:00,general,17,0,1,4,False,False,1,False,False
128,modernization-effort,project,mark.smith,2024-01-04 03:00:00,general,21,1,0,0,True,False,1,False,False
129,modernization-effort,project,alex.brown,2024-01-04 16:49:00,general,28,0,2,2,False,False,1,False,False
130,modernization-effort,project,mark.smith,2024-01-04 11:07:00,general,21,0,0,4,False,False,1,False,False
131,modernization-effort,project,sarah.johnson,2024-01-04 12:55:00,general,21,0,2,3,False,False,1,False,False
132,phoenix-team,team,emma.jones,2024-01-04 08:48:00,general,17,0,2,4,False,False,1,False,False
133,phoenix-daily,standup,alex.brown,2024-01-04 11:45:00,general,28,0,0,2,False,False,1,False,False
134,phoenix-team,team,ana.lopez,2024-01-04 08:58:00,general,33,1,2,0,False,False,1,False,False
135,general-dev,general,lisa.chen,2024-01-04 18:40:00,urgent,39,5,6,3,False,False,1,False,True
136,phoenix-team,team,david.kumar,2024-01-04 14:42:00,blocked,22,2,1,0,False,False,1,True,False
137,phoenix-daily,standup,lisa.chen,2024-01-04 18:17:00,general,21,0,1,0,False,False,1,False,False
138,phoenix-daily,standup,sarah.johnson,2024-01-04 15:49:00,general,17,1,0,1,False,False,1,False,False
139,modernization-effort,project,james.taylor,2024-01-04 10:49:00,urgent,34,4,6,2,False,False,1,False,True
140,modernization-effort,project,sam.miller,2024-01-04 09:31:00,general,21,1,0,0,False,False,1,False,False
141,architecture-discussion,technical,alex.brown,2024-01-04 14:45:00,general,17,0,2,0,False,False,1,False,False
142,phoenix-daily,standup,lisa.chen,2024-01-04 11:29:00,general,17,1,2,2,False,False,1,False,False
143,phoenix-team,team,jordan.davis,2024-01-04 14:13:00,blocked,24,3,4,4,False,False,1,True,False
144,modernization-effort,project,jordan.davis,2024-01-04 08:09:00,general,21,0,2,1,False,False,1,False,False
145,production-alerts,alerts,tom.garcia,2024-01-04 11:43:00,general,21,0,0,2,False,False,1,False,False
146,modernization-effort,project,ana.lopez,2024-01-04 10:09:00,general,33,0,0,0,False,False,1,False,False
147,architecture-discussion,technical,tom.garcia,2024-01-04 14:50:00,blocked,27,1,5,1,False,False,1,True,False
148,phoenix-daily,standup,rachel.wilson,2024-01-04 09:31:00,general,33,0,2,4,False,False,1,False,False
149,general-dev,general,david.kumar,2024-01-04 17:56:00,blocked,24,2,4,3,False,False,1,True,False
150,phoenix-daily,standup,mark.smith,2024-01-04 14:33:00,general,17,1,2,4,False,False,1,False,False
151,architecture-discussion,technical,emma.jones,2024-01-04 18:40:00,general,17,0,0,2,False,False,1,False,False
152,production-alerts,alerts,sam.miller,2024-01-04 18:24:00,general,17,1,1,2,False,False,1,False,False
153,modernization-effort,project,ana.lopez,2024-01-04 17:10:00,general,28,0,2,1,False,False,1,False,False
154,architecture-discussion,technical,rachel.wilson,2024-01-04 15:44:00,general,21,1,2,2,False,False,1,False,False
155,modernization-effort,project,david.kumar,2024-01-04 15:24:00,general,21,0,0,0,False,False,1,False,False
156,phoenix-daily,standup,alex.brown,2024-01-04 18:24:00,general,21,0,0,3,False,False,1,False,False
157,modernization-effort,project,mark.smith,2024-01-04 12:11:00,general,33,0,0,3,False,False,1,False,False
158,phoenix-daily,standup,james.taylor,2024-01-04 13:51:00,general,21,0,0,1,False,False,1,False,False
159,modernization-effort,project,mark.smith,2024-01-04 08:12:00,blocked,27,2,4,0,False,False,1,True,False
160,phoenix-team,team,lisa.chen,2024-01-04 18:05:00,general,21,0,2,4,False,False,1,False,False
161,modernization-effort,project,tom.garcia,2024-01-05 17:39:00,general,17,0,1,0,False,False,1,False,False
162,phoenix-team,team,david.kumar,2024-01-05 08:24:00,general,33,0,1,3,False,False,1,False,False
163,architecture-discussion,technical,sarah.johnson,2024-01-05 14:17:00,general,28,1,1,0,False,False,1,False,False
164,modernization-effort,project,ana.lopez,2024-01-05 09:08:00,general,17,0,1,0,False,False,1,False,False
165,phoenix-team,team,rachel.wilson,2024-01-05 18:04:00,general,17,1,2,3,False,False,1,False,False
166,production-alerts,alerts,jordan.davis,2024-01-05 08:00:00,general,28,1,2,4,False,False,1,False,False
167,architecture-discussion,technical,james.taylor,2024-01-05 13:40:00,general,28,0,0,2,False,False,1,False,False
168,phoenix-daily,standup,sam.miller,2024-01-05 18:12:00,general,21,0,0,3,False,False,1,False,False
169,phoenix-team,team,sam.miller,2024-01-05 08:08:00,blocked,24,2,1,3,False,False,1,True,False
170,phoenix-team,team,david.kumar,2024-01-05 16:02:00,general,17,1,0,3,False,False,1,False,False
171,general-dev,general,ana.lopez,2024-01-05 08:17:00,blocked,22,3,6,1,False,False,1,True,False
172,production-alerts,alerts,rachel.wilson,2024-01-05 17:37:00,general,33,0,2,3,False,False,1,False,False
173,production-alerts,alerts,lisa.chen,2024-01-05 17:02:00,general,21,1,2,1,False,False,1,False,False
174,architecture-discussion,technical,tom.garcia,2024-01-05 13:21:00,general,28,1,2,2,False,False,1,False,False
175,production-alerts,alerts,sam.miller,2024-01-05 08:33:00,urgent,39,2,1,3,False,False,1,False,True
176,phoenix-team,team,sam.miller,2024-01-05 08:37:00,general,28,1,2,1,False,False,1,False,False
177,phoenix-daily,standup,ana.lopez,2024-01-05 11:15:00,general,21,0,1,1,False,False,1,False,False
178,modernization-effort,project,rachel.wilson,2024-01-05 14:16:00,general,28,1,1,4,False,False,1,False,False
179,modernization-effort,project,emma.jones,2024-01-05 14:58:00,general,17,0,1,4,False,False,1,False,False
180,general-dev,general,rachel.wilson,2024-01-05 14:29:00,general,33,0,1,4,False,False,1,False,False
181,general-dev,general,mark.smith,2024-01-05 08:27:00,general,28,0,1,3,False,False,1,False,False
182,general-dev,general,lisa.chen,2024-01-05 14:01:00,general,21,1,2,4,False,False,1,False,False
183,architecture-discussion,technical,rachel.wilson,2024-01-05 15:04:00,general,33,1,1,0,False,False,1,False,False
184,general-dev,general,sam.miller,2024-01-05 08:49:00,urgent,36,5,4,3,False,False,1,False,True
185,architecture-discussion,technical,sam.miller,2024-01-05 14:19:00,urgent,34,5,5,0,False,False,1,False,True
186,phoenix-daily,standup,emma.jones,2024-01-05 13:25:00,general,33,1,2,2,False,False,1,False,False
187,phoenix-daily,standup,ana.lopez,2024-01-05 00:04:00,general,21,1,0,2,True,False,1,False,False
188,general-dev,general,alex.brown,2024-01-05 10:52:00,general,17,1,0,1,False,False,1,False,False
189,modernization-effort,project,jordan.davis,2024-01-05 16:04:00,general,33,1,2,3,False,False,1,False,False
190,phoenix-team,team,alex.brown,2024-01-05 13:43:00,general,21,1,0,4,False,False,1,False,False
191,phoenix-team,team,emma.jones,2024-01-05 09:17:00,general,28,1,2,4,False,False,1,False,False
192,production-alerts,alerts,emma.jones,2024-01-05 16:18:00,general,21,1,2,1,False,False,1,False,False
193,production-alerts,alerts,rachel.wilson,2024-01-05 11:44:00,blocked,26,1,5,4,False,False,1,True,False
194,phoenix-team,team,lisa.chen,2024-01-05 13:57:00,general,33,0,0,1,False,False,1,False,False
195,modernization-effort,project,emma.jones,2024-01-05 11:07:00,general,28,0,1,2,False,False,1,False,False
196,general-dev,general,james.taylor,2024-01-05 17:44:00,general,33,0,0,1,False,False,1,False,False
197,phoenix-daily,standup,tom.garcia,2024-01-05 05:02:00,general,33,0,2,1,True,False,1,False,False
198,phoenix-team,team,sam.miller,2024-01-05 12:22:00,general,21,1,2,4,False,False,1,False,False
199,phoenix-team,team,emma.jones,2024-01-05 12:12:00,general,28,1,2,3,False,False,1,False,False
200,phoenix-daily,standup,james.taylor,2024-01-05 12:11:00,urgent,36,3,0,0,False,False,1,False,True
201,general-dev,general,ana.lopez,2024-01-06 15:03:00,general,21,0,2,1,False,True,1,False,False
202,architecture-discussion,technical,emma.jones,2024-01-06 08:05:00,general,28,0,1,4,False,True,1,False,False
203,production-alerts,alerts,lisa.chen,2024-01-06 15:15:00,general,33,0,1,3,False,True,1,False,False
204,production-alerts,alerts,alex.brown,2024-01-06 16:59:00,general,33,0,2,2,False,True,1,False,False
205,phoenix-team,team,rachel.wilson,2024-01-06 13:14:00,general,17,0,1,0,False,True,1,False,False
206,phoenix-daily,standup,tom.garcia,2024-01-06 15:28:00,general,33,1,0,0,False,True,1,False,False
207,phoenix-team,team,ana.lopez,2024-01-06 18:41:00,general,28,1,2,1,False,True,1,False,False
208,production-alerts,alerts,tom.garcia,2024-01-06 09:32:00,general,28,0,1,2,False,True,1,False,False
209,modernization-effort,project,jordan.davis,2024-01-06 10:57:00,general,17,1,2,0,False,True,1,False,False
210,phoenix-team,team,emma.jones,2024-01-06 14:49:00,general,28,0,0,4,False,True,1,False,False
211,production-alerts,alerts,james.taylor,2024-01-06 15:14:00,general,33,1,2,3,False,True,1,False,False
212,architecture-discussion,technical,tom.garcia,2024-01-06 17:21:00,blocked,22,1,5,1,False,True,1,True,False
213,architecture-discussion,technical,james.taylor,2024-01-07 13:04:00,general,21,1,0,3,False,True,1,False,False
214,phoenix-team,team,sarah.johnson,2024-01-07 17:51:00,general,21,0,0,0,False,True,1,False,False
215,phoenix-team,team,mark.smith,2024-01-07 09:42:00,general,28,0,2,4,False,True,1,False,False
216,phoenix-team,team,ana.lopez,2024-01-07 12:33:00,blocked,24,1,2,4,False,True,1,True,False
217,phoenix-team,team,sarah.johnson,2024-01-07 02:55:00,general,21,0,2,2,True,True,1,False,False
218,production-alerts,alerts,david.kumar,2024-01-07 18:37:00,general,17,0,2,2,False,True,1,False,False
219,architecture-discussion,technical,rachel.wilson,2024-01-07 13:46:00,blocked,27,2,1,1,False,True,1,True,False
220,phoenix-daily,standup,mark.smith,2024-01-07 18:03:00,general,21,1,2,2,False,True,1,False,False
221,modernization-effort,project,emma.jones,2024-01-07 08:33:00,general,28,1,1,4,False,True,1,False,False
222,architecture-discussion,technical,lisa.chen,2024-01-07 14:33:00,general,33,1,1,2,False,True,1,False,False
223,phoenix-team,team,david.kumar,2024-01-07 15:22:00,blocked,24,2,6,3,False,True,1,True,False
224,modernization-effort,project,james.taylor,2024-01-07 17:45:00,general,33,1,0,2,False,True,1,False,False
225,modernization-effort,project,tom.garcia,2024-01-08 09:11:00,blocked,27,2,1,4,False,False,1,True,False
226,architecture-discussion,technical,rachel.wilson,2024-01-08 17:16:00,blocked,22,3,5,3,False,False,1,True,False
227,production-alerts,alerts,rachel.wilson,2024-01-08 14:33:00,general,21,1,1,2,False,False,1,False,False
228,phoenix-daily,standup,alex.brown,2024-01-08 10:55:00,general,21,1,0,1,False,False,1,False,False
229,general-dev,general,jordan.davis,2024-01-08 16:47:00,general,33,0,2,3,False,False,1,False,False
230,phoenix-team,team,emma.jones,2024-01-08 13:02:00,general,21,1,0,2,False,False,1,False,False
231,phoenix-team,team,jordan.davis,2024-01-08 18:44:00,general,28,0,1,3,False,False,1,False,False
232,phoenix-team,team,sam.miller,2024-01-08 12:39:00,general,21,0,1,4,False,False,1,False,False
233,production-alerts,alerts,mark.smith,2024-01-08 09:07:00,general,17,0,2,1,False,False,1,False,False
234,architecture-discussion,technical,emma.jones,2024-01-08 17:04:00,general,33,1,2,4,False,False,1,False,False
235,production-alerts,alerts,lisa.chen,2024-01-08 15:26:00,general,17,1,2,1,False,False,1,False,False
236,general-dev,general,emma.jones,2024-01-08 15:09:00,general,21,0,2,4,False,False,1,False,False
237,phoenix-team,team,jordan.davis,2024-01-08 10:30:00,blocked,26,3,2,3,False,False,1,True,False
238,modernization-effort,project,david.kumar,2024-01-08 16:31:00,general,17,0,2,2,False,False,1,False,False
239,phoenix-team,team,emma.jones,2024-01-08 15:12:00,general,33,0,1,4,False,False,1,False,False
240,modernization-effort,project,ana.lopez,2024-01-08 12:20:00,general,21,0,2,0,False,False,1,False,False
241,phoenix-team,team,ana.lopez,2024-01-08 13:59:00,general,21,0,2,1,False,False,1,False,False
242,architecture-discussion,technical,rachel.wilson,2024-01-08 08:45:00,urgent,45,4,3,3,False,False,1,False,True
243,modernization-effort,project,lisa.chen,2024-01-08 08:30:00,general,28,0,2,3,False,False,1,False,False
244,architecture-discussion,technical,emma.jones,2024-01-08 17:30:00,general,33,0,1,1,False,False,1,False,False
245,general-dev,general,tom.garcia,2024-01-08 09:04:00,general,28,1,2,1,False,False,1,False,False
246,phoenix-daily,standup,david.kumar,2024-01-08 14:05:00,urgent,36,5,6,1,False,False,1,False,True
247,phoenix-daily,standup,ana.lopez,2024-01-08 10:12:00,general,17,0,0,0,False,False,1,False,False
248,architecture-discussion,technical,ana.lopez,2024-01-08 15:14:00,general,17,1,0,4,False,False,1,False,False
249,architecture-discussion,technical,jordan.davis,2024-01-08 14:50:00,general,17,1,1,0,False,False,1,False,False
250,phoenix-daily,standup,alex.brown,2024-01-08 09:27:00,general,17,0,0,3,False,False,1,False,False
251,phoenix-daily,standup,emma.jones,2024-01-08 10:58:00,general,21,0,1,0,False,False,1,False,False
252,phoenix-team,team,sam.miller,2024-01-08 15:56:00,general,21,1,0,0,False,False,1,False,False
253,production-alerts,alerts,rachel.wilson,2024-01-08 15:13:00,general,33,0,1,3,False,False,1,False,False
254,production-alerts,alerts,james.taylor,2024-01-08 09:52:00,blocked,22,3,2,0,False,False,1,True,False
255,general-dev,general,lisa.chen,2024-01-08 14:06:00,general,21,1,0,0,False,False,1,False,False
256,architecture-discussion,technical,alex.brown,2024-01-08 17:43:00,general,33,0,1,4,False,False,1,False,False
257,production-alerts,alerts,tom.garcia,2024-01-08 10:43:00,general,28,1,2,4,False,False,1,False,False
258,phoenix-daily,standup,rachel.wilson,2024-01-08 16:26:00,blocked,24,3,6,3,False,False,1,True,False
259,phoenix-team,team,sarah.johnson,2024-01-08 19:37:00,general,21,1,1,2,True,False,1,False,False
260,production-alerts,alerts,jordan.davis,2024-01-08 13:12:00,general,17,1,2,3,False,False,1,False,False
261,phoenix-daily,standup,rachel.wilson,2024-01-08 10:26:00,general,17,1,0,0,False,False,1,False,False
262,modernization-effort,project,david.kumar,2024-01-08 10:52:00,general,33,0,1,0,False,False,1,False,False
263,general-dev,general,sarah.johnson,2024-01-08 15:04:00,general,17,1,1,2,False,False,1,False,False
264,phoenix-team,team,ana.lopez,2024-01-08 12:33:00,general,28,0,0,0,False,False,1,False,False
265,general-dev,general,mark.smith,2024-01-09 14:58:00,general,17,0,2,2,False,False,1,False,False
266,architecture-discussion,technical,tom.garcia,2024-01-09 11:46:00,urgent,45,2,0,2,False,False,1,False,True
267,phoenix-team,team,alex.brown,2024-01-09 08:25:00,general,33,1,2,0,False,False,1,False,False
268,general-dev,general,david.kumar,2024-01-09 18:25:00,general,21,1,1,0,False,False,1,False,False
