issue_key,issue_type,summary,epic_key,feature_key,sprint_number,created_date,updated_date,resolution_date,status,resolution,priority,original_estimate_points,final_estimate_points,time_spent_hours,assignee,reporter,has_acceptance_criteria,acceptance_criteria_added_after_start,requirements_changed_after_start,is_interrupt,has_external_dependency,days_blocked,number_of_reopens,labels,severity
PHOE-10020,Story,Implement OAuth 2.0 Integration - Feature 4 functionality,MOD-101,MOD-101-F04,1,2024-01-02 00:00:00,2024-01-05 00:00:00,2024-01-08 00:00:00,Done,Fixed,Highest,3.0,3.0,28,ana.lopez,sarah.johnson,True,False,False,False,True,0,0,['modernization'],
PHOE-10021,Story,Implement Mobile App Feature Parity - Feature 6 functionality,,,1,2024-01-06 00:00:00,2024-01-08 00:00:00,,To Do,,Low,13.0,13.0,9,james.taylor,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10022,Story,Implement Q2 Marketing Campaign Support - Feature 4 functionality,BIZ-200,BIZ-200-F04,1,2024-01-10 00:00:00,2024-01-13 00:00:00,2024-01-20 00:00:00,Done,Fixed,Low,3.0,3.0,32,ana.lopez,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10023,Story,Implement Q2 Marketing Campaign Support - Feature 3 functionality,BIZ-200,BIZ-200-F03,1,2024-01-11 00:00:00,2024-01-12 00:00:00,,Code Review,,High,3.0,3.0,0,mark.smith,sarah.johnson,True,True,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10024,Story,Implement Security Patches & Updates - Feature 2 functionality,BAU-402,BAU-402-F02,1,2024-01-07 00:00:00,2024-01-10 00:00:00,2024-01-18 00:00:00,Done,Fixed,High,5.0,5.0,15,david.kumar,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10025,Story,Implement Real-time Data Sync - Feature 3 functionality,MOD-106,MOD-106-F03,1,2024-01-08 00:00:00,2024-01-12 00:00:00,,Blocked,,Low,8.0,8.0,5,james.taylor,sarah.johnson,True,False,False,False,False,3,0,['modernization'],
PHOE-10026,Story,Implement Customer Support Portal - Feature 3 functionality,BIZ-205,BIZ-205-F03,1,2024-01-13 00:00:00,2024-01-17 00:00:00,2024-01-18 00:00:00,Done,Fixed,Highest,5.0,5.0,12,mark.smith,sarah.johnson,True,False,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10027,Story,Implement Legacy Platform Maintenance - Feature 5 functionality,BAU-400,BAU-400-F05,1,2024-01-07 00:00:00,2024-01-11 00:00:00,2024-01-19 00:00:00,Done,Fixed,Low,5.0,5.0,34,mark.smith,sarah.johnson,True,True,False,True,False,0,0,"['bau', 'maintenance']",
PHOE-10028,Story,Implement Legacy Platform Maintenance - Feature 6 functionality,BAU-400,BAU-400-F06,1,2024-01-09 00:00:00,2024-01-11 00:00:00,2024-01-17 00:00:00,Done,Fixed,Low,2.0,2.0,14,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10029,Story,Implement Database Optimization - Feature 3 functionality,TECH-304,TECH-304-F03,1,2024-01-10 00:00:00,2024-01-13 00:00:00,2024-01-17 00:00:00,Done,Fixed,Medium,2.0,4.0,25,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10030,Story,Implement Regional Localization - Feature 1 functionality,BIZ-204,BIZ-204-F01,1,2024-01-14 00:00:00,2024-01-14 00:00:00,2024-01-25 00:00:00,Done,Fixed,High,3.0,3.0,16,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10031,Story,Implement Real-time Data Sync - Feature 1 functionality,MOD-106,MOD-106-F01,1,2024-01-10 00:00:00,2024-01-12 00:00:00,2024-01-22 00:00:00,Done,Fixed,Highest,3.0,3.0,5,tom.garcia,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10032,Story,Implement Mobile App Feature Parity - Feature 6 functionality,BIZ-201,BIZ-201-F06,1,2024-01-02 00:00:00,2024-01-06 00:00:00,2024-01-12 00:00:00,Done,Fixed,Low,3.0,4.0,27,ana.lopez,sarah.johnson,True,True,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10033,Story,Implement Customer Issue Resolutions - Feature 3 functionality,BAU-403,BAU-403-F03,1,2024-01-02 00:00:00,2024-01-06 00:00:00,2024-01-14 00:00:00,Done,Fixed,Low,5.0,5.0,33,ana.lopez,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10034,Story,Implement Payment Gateway Integration - Feature 4 functionality,MOD-104,MOD-104-F04,1,2024-01-05 00:00:00,2024-01-08 00:00:00,2024-01-13 00:00:00,Done,Fixed,High,13.0,13.0,26,tom.garcia,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10035,Story,Implement Customer Support Portal - Feature 3 functionality,,,1,2024-01-09 00:00:00,2024-01-12 00:00:00,2024-01-21 00:00:00,Done,Fixed,Highest,5.0,5.0,9,james.taylor,sarah.johnson,True,False,False,True,False,0,0,"['bau', 'maintenance']",
PHOE-10036,Story,Implement Performance Monitoring - Feature 5 functionality,TECH-303,TECH-303-F05,1,2024-01-08 00:00:00,2024-01-09 00:00:00,2024-01-13 00:00:00,Done,Fixed,Highest,8.0,8.0,16,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10037,Story,Implement Mobile App Feature Parity - Feature 5 functionality,BIZ-201,BIZ-201-F05,1,2024-01-04 00:00:00,2024-01-05 00:00:00,,To Do,,Medium,8.0,8.0,0,mark.smith,sarah.johnson,True,False,False,False,True,0,2,"['bau', 'maintenance']",
PHOE-10038,Bug,Production Issue: Authentication failure,,,1,2024-01-03 00:00:00,2024-01-05 00:00:00,2024-01-09 00:00:00,Done,Fixed,High,,,9,ana.lopez,alex.brown,False,False,False,False,False,0,0,"['qa-found', 'internal']",Low
PHOE-10039,Bug,Production Issue: Authentication failure,MOD-102,,1,2024-01-14 00:00:00,2024-01-14 00:00:00,2024-01-19 00:00:00,Done,Fixed,Highest,,,4,david.kumar,sarah.johnson,False,False,False,True,True,0,2,"['production', 'urgent']",High
PHOE-10040,Bug,Production Issue: UI rendering problem,TECH-300,,1,2024-01-10 00:00:00,2024-01-12 00:00:00,2024-01-15 00:00:00,Done,Fixed,Medium,,,8,david.kumar,alex.brown,False,False,False,False,False,0,2,"['qa-found', 'internal']",Low
PHOE-10041,Bug,Production Issue: Data sync issue,,,1,2024-01-13 00:00:00,2024-01-14 00:00:00,2024-01-15 00:00:00,Done,Fixed,Highest,,,4,mark.smith,sarah.johnson,False,False,False,True,True,0,0,"['production', 'urgent']",Critical
PHOE-10042,Bug,Production Issue: Payment processing error,BIZ-201,,1,2024-01-08 00:00:00,2024-01-11 00:00:00,2024-01-13 00:00:00,Done,Fixed,Highest,,,12,emma.jones,alex.brown,False,False,False,False,False,0,0,"['qa-found', 'internal']",Medium
PHOE-10043,Bug,Production Issue: Authentication failure,BAU-401,,1,2024-01-11 00:00:00,2024-01-12 00:00:00,2024-01-17 00:00:00,Done,Fixed,High,,,15,emma.jones,alex.brown,False,False,False,False,True,0,1,"['qa-found', 'internal']",High
PHOE-10044,Bug,Production Issue: UI rendering problem,BAU-403,,1,2024-01-14 00:00:00,2024-01-16 00:00:00,2024-01-20 00:00:00,Done,Fixed,Medium,,,8,david.kumar,alex.brown,False,False,False,False,False,0,0,"['qa-found', 'internal']",Low
PHOE-10045,Bug,Production Issue: Data sync issue,MOD-107,,1,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-01-07 00:00:00,Done,Fixed,Medium,,,15,david.kumar,sarah.johnson,False,False,False,True,False,0,0,"['production', 'urgent']",High
PHOE-10046,Bug,Production Issue: Data sync issue,TECH-304,,1,2024-01-09 00:00:00,2024-01-12 00:00:00,2024-01-15 00:00:00,Done,Fixed,Medium,,,15,ana.lopez,sarah.johnson,False,False,False,True,False,0,0,"['production', 'urgent']",Medium
PHOE-10047,Task,Documentation: Research new framework,MOD-105,,1,2024-01-06 00:00:00,2024-01-07 00:00:00,2024-01-13 00:00:00,In Progress,Done,Low,,,7,alex.brown,sarah.johnson,False,False,False,False,False,0,0,"['documentation', 'technical']",
PHOE-10048,Task,Configuration: Research new framework,,,1,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-10 00:00:00,Done,Done,Low,,,6,jordan.davis,mark.smith,False,False,False,False,False,0,0,"['configuration', 'technical']",
PHOE-10049,Task,Research: Configure monitoring,BIZ-201,,1,2024-01-05 00:00:00,2024-01-06 00:00:00,2024-01-13 00:00:00,Done,Done,Low,,,4,sarah.johnson,sarah.johnson,False,False,False,False,True,0,0,"['research', 'technical']",
PHOE-10050,Task,Documentation: Update deployment pipeline,,,1,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-10 00:00:00,Done,Done,Medium,,,8,sarah.johnson,mark.smith,False,False,False,False,False,0,0,"['documentation', 'technical']",
PHOE-10051,Task,Documentation: Update deployment pipeline,MOD-104,,1,2024-01-08 00:00:00,2024-01-09 00:00:00,2024-01-12 00:00:00,In Progress,Done,Medium,,,2,rachel.wilson,mark.smith,False,False,False,False,False,0,0,"['documentation', 'technical']",
PHOE-10052,Task,Configuration: Update deployment pipeline,BIZ-201,,1,2024-01-14 00:00:00,2024-01-16 00:00:00,2024-01-22 00:00:00,Done,Done,Low,,,6,tom.garcia,rachel.wilson,False,False,False,False,False,0,0,"['configuration', 'technical']",
PHOE-10053,Task,Configuration: Update deployment pipeline,,,1,2024-01-14 00:00:00,2024-01-14 00:00:00,2024-01-21 00:00:00,Done,,Low,,,1,tom.garcia,rachel.wilson,False,False,False,False,False,0,0,"['configuration', 'technical']",
PHOE-10054,Task,Documentation: Configure monitoring,,,1,2024-01-07 00:00:00,2024-01-09 00:00:00,2024-01-10 00:00:00,Done,,Medium,,,6,emma.jones,mark.smith,True,False,False,False,False,0,0,"['documentation', 'technical']",
PHOE-10055,Task,DevOps: Update deployment pipeline,BAU-401,,1,2024-01-12 00:00:00,2024-01-12 00:00:00,2024-01-14 00:00:00,Done,Done,Low,,,6,jordan.davis,rachel.wilson,False,False,False,False,True,0,0,"['devops', 'technical']",
PHOE-10056,Task,Configuration: Configure monitoring,,,1,2024-01-14 00:00:00,2024-01-15 00:00:00,2024-01-20 00:00:00,In Progress,Done,Low,,,1,jordan.davis,sarah.johnson,True,False,False,False,False,0,0,"['configuration', 'technical']",
PHOE-10057,Task,Configuration: Configure monitoring,MOD-103,,1,2024-01-04 00:00:00,2024-01-06 00:00:00,2024-01-06 00:00:00,Done,Done,Low,,,1,mark.smith,mark.smith,False,False,False,False,False,0,0,"['configuration', 'technical']",
PHOE-10058,Task,Configuration: Update deployment pipeline,BIZ-205,,1,2024-01-07 00:00:00,2024-01-09 00:00:00,2024-01-10 00:00:00,Done,Done,Low,,,7,jordan.davis,rachel.wilson,True,False,False,False,False,0,0,"['configuration', 'technical']",
PHOE-10059,Task,Research: Research new framework,TECH-300,,1,2024-01-04 00:00:00,2024-01-05 00:00:00,2024-01-05 00:00:00,Done,,Low,,,3,emma.jones,mark.smith,False,False,False,False,False,0,0,"['research', 'technical']",
PHOE-10060,Task,Configuration: Research new framework,TECH-300,,1,2024-01-11 00:00:00,2024-01-12 00:00:00,2024-01-15 00:00:00,Done,,Medium,,,4,ana.lopez,rachel.wilson,False,False,False,False,False,0,0,"['configuration', 'technical']",
PHOE-10061,Story,Implement Database Optimization - Feature 4 functionality,,,2,2024-01-19 00:00:00,2024-01-20 00:00:00,,In Progress,,High,1.0,6.0,19,ana.lopez,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10062,Story,Implement Legacy Data Migration - Feature 3 functionality,MOD-107,MOD-107-F03,2,2024-01-25 00:00:00,2024-01-27 00:00:00,2024-01-28 00:00:00,Done,Fixed,Medium,5.0,5.0,30,mark.smith,sarah.johnson,True,False,True,True,False,0,0,['modernization'],
PHOE-10063,Story,Implement Customer Issue Resolutions - Feature 6 functionality,BAU-403,BAU-403-F06,2,2024-01-19 00:00:00,2024-01-19 00:00:00,2024-01-25 00:00:00,Done,Fixed,High,5.0,8.0,18,james.taylor,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10064,Story,Implement Performance Monitoring - Feature 4 functionality,TECH-303,TECH-303-F04,2,2024-01-16 00:00:00,2024-01-16 00:00:00,2024-01-21 00:00:00,Done,Fixed,High,5.0,5.0,34,ana.lopez,sarah.johnson,True,True,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10065,Story,Implement Customer Dashboard v2 - Feature 4 functionality,,,2,2024-01-25 00:00:00,2024-01-28 00:00:00,2024-01-26 00:00:00,Done,Fixed,Highest,3.0,3.0,10,ana.lopez,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10066,Story,Implement Legacy Platform Maintenance - Feature 6 functionality,BAU-400,BAU-400-F06,2,2024-01-24 00:00:00,2024-01-27 00:00:00,,Ready for QA,,Low,1.0,6.0,7,mark.smith,sarah.johnson,True,False,True,False,False,0,0,"['bau', 'maintenance']",
PHOE-10067,Story,Implement Performance Monitoring - Feature 2 functionality,TECH-303,TECH-303-F02,2,2024-01-15 00:00:00,2024-01-15 00:00:00,2024-01-26 00:00:00,Done,Fixed,Medium,5.0,5.0,19,david.kumar,sarah.johnson,True,False,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10068,Story,Implement Customer Dashboard v2 - Feature 1 functionality,,,2,2024-01-24 00:00:00,2024-01-25 00:00:00,2024-01-27 00:00:00,Done,Fixed,Highest,2.0,3.0,5,ana.lopez,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10069,Story,Implement OAuth 2.0 Integration - Feature 1 functionality,MOD-101,MOD-101-F01,2,2024-01-17 00:00:00,2024-01-20 00:00:00,2024-01-23 00:00:00,Done,Fixed,High,1.0,1.0,6,david.kumar,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10070,Story,Implement OAuth 2.0 Integration - Feature 4 functionality,,,2,2024-01-15 00:00:00,2024-01-16 00:00:00,,In QA,,Highest,1.0,1.0,4,mark.smith,sarah.johnson,False,False,False,False,False,0,0,['modernization'],
PHOE-10071,Story,Implement Kubernetes Migration - Feature 4 functionality,TECH-300,TECH-300-F04,2,2024-01-22 00:00:00,2024-01-25 00:00:00,2024-01-26 00:00:00,Done,Fixed,Low,1.0,3.0,30,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10072,Story,Implement Legacy Data Migration - Feature 7 functionality,MOD-107,MOD-107-F07,2,2024-01-25 00:00:00,2024-01-29 00:00:00,2024-01-31 00:00:00,Done,Fixed,Medium,1.0,1.0,11,david.kumar,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10073,Story,Implement Single Sign-On Implementation - Feature 6 functionality,MOD-102,MOD-102-F06,2,2024-01-19 00:00:00,2024-01-23 00:00:00,2024-01-21 00:00:00,Done,Fixed,Medium,2.0,2.0,11,mark.smith,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10074,Story,Implement OAuth 2.0 Integration - Feature 3 functionality,,,2,2024-01-24 00:00:00,2024-01-25 00:00:00,,To Do,,Low,2.0,2.0,2,mark.smith,sarah.johnson,True,False,False,False,True,0,0,['modernization'],
PHOE-10075,Story,Implement Customer Dashboard v2 - Feature 3 functionality,BIZ-202,BIZ-202-F03,2,2024-01-21 00:00:00,2024-01-22 00:00:00,2024-01-23 00:00:00,Done,Fixed,Highest,3.0,3.0,9,tom.garcia,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10076,Story,Implement Customer Support Portal - Feature 2 functionality,BIZ-205,BIZ-205-F02,2,2024-01-18 00:00:00,2024-01-19 00:00:00,2024-01-27 00:00:00,Done,Fixed,Low,3.0,3.0,7,david.kumar,sarah.johnson,True,True,False,False,True,0,2,"['bau', 'maintenance']",
PHOE-10077,Story,Implement Kubernetes Migration - Feature 3 functionality,TECH-300,TECH-300-F03,2,2024-01-20 00:00:00,2024-01-20 00:00:00,2024-01-29 00:00:00,Done,Fixed,Low,2.0,2.0,6,ana.lopez,sarah.johnson,True,False,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10078,Story,Implement Legacy Platform Maintenance - Feature 8 functionality,BAU-400,BAU-400-F08,2,2024-01-24 00:00:00,2024-01-29 00:00:00,2024-02-03 00:00:00,Done,Fixed,Medium,5.0,5.0,9,mark.smith,sarah.johnson,True,False,True,False,False,0,0,"['bau', 'maintenance']",
PHOE-10079,Story,Implement Payment Gateway Integration - Feature 2 functionality,MOD-104,MOD-104-F02,2,2024-01-21 00:00:00,2024-01-23 00:00:00,2024-01-30 00:00:00,Done,Fixed,High,2.0,2.0,19,ana.lopez,sarah.johnson,True,True,False,False,True,0,0,['modernization'],
PHOE-10080,Story,Implement Payment Gateway Integration - Feature 1 functionality,MOD-104,MOD-104-F01,2,2024-01-17 00:00:00,2024-01-22 00:00:00,2024-01-27 00:00:00,Done,Fixed,Medium,13.0,13.0,13,ana.lopez,sarah.johnson,False,False,False,False,False,0,0,['modernization'],
PHOE-10081,Story,Implement Billing Service Microservice - Feature 1 functionality,MOD-103,MOD-103-F01,2,2024-01-20 00:00:00,2024-01-24 00:00:00,2024-01-31 00:00:00,Done,Fixed,Low,1.0,1.0,33,david.kumar,sarah.johnson,True,False,False,False,False,0,1,['modernization'],
PHOE-10082,Story,Implement Security Compliance Updates - Feature 1 functionality,TECH-302,TECH-302-F01,2,2024-01-24 00:00:00,2024-01-25 00:00:00,,Ready for QA,,Low,1.0,4.0,14,mark.smith,sarah.johnson,True,False,False,True,False,0,0,"['bau', 'maintenance']",
PHOE-10083,Story,Implement Database Optimization - Feature 2 functionality,TECH-304,TECH-304-F02,2,2024-01-21 00:00:00,2024-01-23 00:00:00,2024-02-01 00:00:00,Done,Fixed,High,3.0,3.0,25,mark.smith,sarah.johnson,True,True,False,True,False,0,0,"['bau', 'maintenance']",
PHOE-10084,Story,Implement Database Optimization - Feature 3 functionality,,,2,2024-01-17 00:00:00,2024-01-22 00:00:00,2024-01-20 00:00:00,Done,Fixed,Low,5.0,5.0,36,david.kumar,sarah.johnson,True,False,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10085,Story,Implement Customer Issue Resolutions - Feature 2 functionality,BAU-403,BAU-403-F02,2,2024-01-18 00:00:00,2024-01-23 00:00:00,2024-01-30 00:00:00,Done,Fixed,Medium,1.0,1.0,12,david.kumar,sarah.johnson,True,False,True,True,True,0,0,"['bau', 'maintenance']",
PHOE-10086,Story,Implement Q2 Marketing Campaign Support - Feature 2 functionality,BIZ-200,BIZ-200-F02,2,2024-01-26 00:00:00,2024-01-29 00:00:00,,In Progress,,High,2.0,5.0,11,ana.lopez,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10087,Story,Implement Performance Monitoring - Feature 8 functionality,,,2,2024-01-23 00:00:00,2024-01-27 00:00:00,2024-02-03 00:00:00,Done,Fixed,Highest,13.0,13.0,37,ana.lopez,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10088,Story,Implement Legacy Data Migration - Feature 5 functionality,,,2,2024-01-28 00:00:00,2024-01-31 00:00:00,2024-02-04 00:00:00,Done,Fixed,Highest,5.0,6.0,27,tom.garcia,sarah.johnson,True,False,False,False,True,0,0,['modernization'],
PHOE-10089,Story,Implement Security Compliance Updates - Feature 4 functionality,TECH-302,TECH-302-F04,2,2024-01-27 00:00:00,2024-01-31 00:00:00,2024-02-08 00:00:00,Done,Fixed,Highest,5.0,5.0,9,mark.smith,sarah.johnson,True,True,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10090,Story,Implement Legacy Platform Maintenance - Feature 7 functionality,BAU-400,BAU-400-F07,2,2024-01-16 00:00:00,2024-01-20 00:00:00,,In Progress,,Highest,2.0,2.0,20,james.taylor,sarah.johnson,True,False,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10091,Story,Implement Performance Monitoring - Feature 1 functionality,TECH-303,TECH-303-F01,2,2024-01-18 00:00:00,2024-01-21 00:00:00,,Blocked,,Highest,8.0,9.0,20,james.taylor,sarah.johnson,True,False,False,False,False,5,0,"['bau', 'maintenance']",
PHOE-10092,Story,Implement Security Compliance Updates - Feature 7 functionality,TECH-302,TECH-302-F07,2,2024-01-18 00:00:00,2024-01-23 00:00:00,2024-01-24 00:00:00,Done,Fixed,Low,3.0,3.0,34,tom.garcia,sarah.johnson,True,False,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10093,Story,Implement Security Patches & Updates - Feature 3 functionality,BAU-402,BAU-402-F03,2,2024-01-15 00:00:00,2024-01-17 00:00:00,2024-01-22 00:00:00,Done,Fixed,Highest,1.0,1.0,16,james.taylor,sarah.johnson,True,False,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10094,Story,Implement Customer Support Portal - Feature 2 functionality,BIZ-205,BIZ-205-F02,2,2024-01-16 00:00:00,2024-01-18 00:00:00,2024-01-19 00:00:00,Done,Fixed,Medium,5.0,10.0,9,james.taylor,sarah.johnson,True,False,True,False,False,0,0,"['bau', 'maintenance']",
PHOE-10095,Story,Implement Kubernetes Migration - Feature 4 functionality,TECH-300,TECH-300-F04,2,2024-01-20 00:00:00,2024-01-23 00:00:00,2024-02-01 00:00:00,Done,Fixed,Highest,5.0,5.0,26,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
